Startnummer;Name;Kommentar;Team;Team kurz;Land
1;Frank SCHLECK ;;Team Leopard-Trek ;LEO;
2;Fabian CANCELLARA ;;Team Leopard-Trek ;LEO;
3;Jakob FUGLSANG ;;Team Leopard-Trek ;LEO;
4;Linus GERDEMANN ;;Team Leopard-Trek ;LEO;
5;Maxime MONFORT ;;Team Leopard-Trek ;LEO;
6;Stuart O'GRADY ;;Team Leopard-Trek ;LEO;
7;Andy SCHLECK ;;Team Leopard-Trek ;LEO;
8;Jens VOIGT ;;Team Leopard-Trek ;LEO;
11;Michael ALBASINI ;;HTC - Highroad ;THR;
12;Mark CAVENDISH ;;HTC - Highroad ;THR;
13;Bernhard EISEL ;;HTC - Highroad ;THR;
14;Matthew Harley GOSS ;;HTC - Highroad ;THR;
15;Bert GRABSCH ;;HTC - Highroad ;THR;
16;Tejay VAN GARDEREN ;;HTC - Highroad ;THR;
17;Martin VELITS ;;HTC - Highroad ;THR;
18;Peter VELITS ;;HTC - Highroad ;THR
21;Nick NUYENS ;;Saxo Bank SunGard ;SBS
22;Manuele BOARO ;;Saxo Bank SunGard ;SBS
23;Mads CHRISTENSEN ;;Saxo Bank SunGard ;SBS
24;Baden COOKE ;;Saxo Bank SunGard ;SBS
25;Gustav LARSSON ;;Saxo Bank SunGard ;SBS
26;Jaroslaw MARYCZ ;;Saxo Bank SunGard ;SBS
27;Benjamin NOVAL GONZALEZ ;;Saxo Bank SunGard ;SBS
28;Luke ROBERTS ;;Saxo Bank SunGard ;SBS
31;Levi LEIPHEIMER ;;Team RadioShack ;RSH
32;Philip DEIGNAN ;;Team RadioShack ;RSH
33;Robert HUNTER ;;Team RadioShack ;RSH
34;Andreas KLÖDEN ;;Team RadioShack ;RSH
35;Robbie MCEWEN ;;Team RadioShack ;RSH
36;Dmitriy MURAVYEV ;;Team RadioShack ;RSH
37;Nelson OLIVEIRA ;;Team RadioShack ;RSH
38;Gregory RAST ;;Team RadioShack ;RSH
41;André GREIPEL ;;Omega Pharma - Lotto ;OLO
42;Jan BAKELANTS ;;Omega Pharma - Lotto ;OLO
43;Francis DE GREEF ;;Omega Pharma - Lotto ;OLO
44;Adam HANSEN ;;Omega Pharma - Lotto ;OLO
45;Olivier KAISEN ;;Omega Pharma - Lotto ;OLO
46;Vicente REYNES MIMO ;;Omega Pharma - Lotto ;OLO
47;Marcel SIEBERG ;;Omega Pharma - Lotto ;OLO
